n,p030,p040,p045,p048,p049
172,2.8251207013187702,4.207927872141459,6.893283467214499,14.69243286953283,26.702004530420293
173,2.8251207013187707,4.207927872141459,6.8932834739548365,14.692879178157478,26.717496510130715
174,2.8251207013187707,4.207927872141459,6.89328348002114,14.693307633916158,26.732678469076156
175,2.8251207013187707,4.207927872141459,6.893283485480813,14.69371895096438,26.747556615050083
176,2.8251207013187707,4.207927872141459,6.893283490394519,14.694113814888231,26.762137031385603
177,2.8251207013187707,4.207927872141459,6.893283494816854,14.6944928838474,26.776425679457468
178,2.8251207013187707,4.207927872141459,6.893283498796956,14.694856789672455,26.790428401133507
179,2.8251207013187707,4.207927872141459,6.893283502379048,14.695206138918241,26.804150921176486
180,2.8251207013187707,4.207927872141459,6.893283505602929,14.69554151387509,26.817598849597427
181,2.8251207013187702,4.207927872141459,6.893283508504422,14.69586347353959,26.8307776839614
182,2.8251207013187702,4.207927872141459,6.893283511115768,14.69617255454651,26.8436928116467
183,2.8251207013187702,4.207927872141459,6.893283513465978,14.696469272063407,26.856349512058433
184,2.8251207013187707,4.207927872141459,6.893283515581167,14.696754120649471,26.868752958797387
185,2.8251207013187702,4.207927872141459,6.893283517484838,14.697027575079991,26.880908221785145
186,2.8251207013187702,4.207927872141459,6.893283519198142,14.69729009113782,26.892820269346274
187,2.8251207013187702,4.207927872141459,6.893283520740114,14.697542106373199,26.904493970248566
188,2.8251207013187702,4.207927872141459,6.89328352212789,14.697784040833158,26.915934095702067
189,2.8251207013187702,4.207927872141459,6.893283523376887,14.69801629776173,26.927145321317774
190,2.8251207013187707,4.207927872141459,6.893283524500986,14.698239264272173,26.938132229026916
191,2.8251207013187702,4.207927872141459,6.8932835255126745,14.698453311992267,26.94889930896148
192,2.8251207013187707,4.207927872141458,6.893283526423194,14.69865879768382,26.959450961296824
193,2.825120701318771,4.207927872141458,6.893283527242661,14.698856063837361,26.969791498057226
194,2.825120701318771,4.207927872141459,6.893283527980182,14.699045439243065,26.97992514488495
195,2.825120701318771,4.207927872141458,6.893283528643949,14.699227239538821,26.98985604277379
196,2.825120701318771,4.207927872141458,6.893283529241341,14.69940176773638,26.999588249767587
197,2.825120701318771,4.2079278721414575,6.893283529778993,14.699569314726437,27.00912574262462
